Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes 
SPECTRA_W23,306-1-0,1,0,GH,1,61,2.89,
SPECTRA_W23,306-1-0,1,0,GH,1,62,4.14,
SPECTRA_W23,306-1-0,1,0,GH,1,63,3.52,
SPECTRA_W23,306-1-0,1,0,GH,1,64,3.43,
SPECTRA_W23,306-1-0,1,0,GH,1,65,3.42,
SPECTRA_W23,306-1-0,1,0,GH,1,66,5.24,
SPECTRA_W23,306-1-0,1,0,GH,1,67,2.05,
SPECTRA_W23,306-1-0,1,0,GH,1,68,4.42,
SPECTRA_W23,306-1-0,1,0,GH,1,69,3.64,
SPECTRA_W23,306-1-0,1,0,GH,1,70,3.23,
SPECTRA_W23,306-1-0,1,0,GH,1,71,4.11,
SPECTRA_W23,306-1-0,1,0,GH,1,72,3.16,
SPECTRA_W23,306-1-0,1,0,GH,1,73,4.15,
SPECTRA_W23,306-1-0,1,0,GH,1,74,2.57,
SPECTRA_W23,306-1-0,1,0,GH,1,75,3.56,
SPECTRA_W23,306-1-0,1,0,GH,1,76,3.63,
SPECTRA_W23,306-1-0,1,0,GH,1,77,2.75,
SPECTRA_W23,306-1-0,1,0,GH,1,78,4.48,
SPECTRA_W23,306-1-0,1,0,GH,1,79,4.28,
SPECTRA_W23,306-1-0,1,0,GH,1,80,NA,damaged
SPECTRA_W23,306-1-0,1,0,GH,1,81,3.61,
SPECTRA_W23,306-1-0,1,0,GH,1,82,3.77,
SPECTRA_W23,306-1-0,1,0,GH,1,83,3.41,
SPECTRA_W23,306-1-0,1,0,GH,1,84,3.56,
SPECTRA_W23,306-1-0,1,0,GH,1,85,3.27,
SPECTRA_W23,306-1-0,1,0,GH,1,86,4.01,
SPECTRA_W23,306-1-0,1,0,GH,1,87,3.87,
SPECTRA_W23,306-1-0,1,0,GH,1,88,4.4,
SPECTRA_W23,306-1-0,1,0,GH,1,89,5.6,
SPECTRA_W23,306-1-0,1,0,GH,1,90,2.75,
SPECTRA_W23,306-1-0,1,0,GH,1,91,6,
SPECTRA_W23,306-1-0,1,0,GH,1,92,3.59,
SPECTRA_W23,306-1-0,1,0,GH,1,93,3.26,
SPECTRA_W23,306-1-0,1,0,GH,1,94,4.68,
SPECTRA_W23,306-1-0,1,0,GH,1,95,3.77,
SPECTRA_W23,306-1-0,1,0,GH,1,96,4.48,
SPECTRA_W23,306-1-0,1,0,GH,1,97,6.64,
SPECTRA_W23,306-1-0,1,0,GH,1,98,4.29,
SPECTRA_W23,306-1-0,1,0,GH,1,99,3.09,
SPECTRA_W23,306-1-0,1,0,GH,1,100,4.14,
,,,,,,,,
SPECTRA_W23,306-1-3,1,3,GH,1,1,4.6,
SPECTRA_W23,306-1-3,1,3,GH,1,2,2.63,
SPECTRA_W23,306-1-3,1,3,GH,1,3,2.89,
SPECTRA_W23,306-1-3,1,3,GH,1,4,4.64,
SPECTRA_W23,306-1-3,1,3,GH,1,5,3.51,
SPECTRA_W23,306-1-3,1,3,GH,1,6,5.73,
SPECTRA_W23,306-1-3,1,3,GH,1,7,3.32,
SPECTRA_W23,306-1-3,1,3,GH,1,8,5.55,
SPECTRA_W23,306-1-3,1,3,GH,1,9,3.95,
SPECTRA_W23,306-1-3,1,3,GH,1,10,3.09,
