Vial_Label,Haul Code,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.14,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.95,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.25,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,9.01,Gut region slightly damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.56,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.92,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.29,Gut region slightly damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.35,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.53,"Entire body damaged, head and gut region severely damaged"
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,8.03,Measurement inaccurate; head detached from body
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,6.97,Gut region and lower jaw damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,5.56,
mezcalW19-20190307-NH-S2-MbD-Moc4-N2,319-4-2,7.47,"Measurement inaccurate; body severely damaged and deformed, head detached from body"
,,,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,8.78,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,8.4,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,8.69,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,8.98,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,10.31,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,9.86,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,8.71,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,9.47,
mezcalW19-20190307-NH-S2-MbD-Moc1-N2,319-1-2,10.19,
